seed,num_steps,connected_steps,connected_ratio,ever_connected,first_connected_step,last_connected_step,num_disappear_events,first_disappear_step,final_connected,final_node_count,persistent_after_first_connection,persistent_threshold_step,always_connected
496,1201,1201,1.0,1,0,1200,0,,1,16,1,1075,1
497,1201,1201,1.0,1,0,1200,0,,1,23,1,1075,1
498,1201,1201,1.0,1,0,1200,0,,1,25,1,1075,1
502,1201,1140,0.9492089925062448,1,0,1139,1,1140,0,21,1,1075,0
503,1201,1201,1.0,1,0,1200,0,,1,15,1,1075,1
504,1201,1201,1.0,1,0,1200,0,,1,19,1,1075,1
506,1201,1201,1.0,1,0,1200,0,,1,22,1,1075,1
508,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
509,1201,1201,1.0,1,0,1200,0,,1,18,1,1075,1
511,1201,1201,1.0,1,0,1200,0,,1,21,1,1075,1
